Algorithm Name,Train Accuracy,TestAccuracy,Precision,Recall,F1 Score,AUC
LogisticRegression,0.6677390527256479,0.6576125804145818,0.6673835125448029,0.6533333333333333,0.6602836879432624,0.7211027203843549
GaussianNB,0.6302055406613047,0.6179413867047892,0.6096059113300493,0.6947368421052632,0.6493932436864546,0.6736364217170748
SVC,0.769615728328865,0.725518227305218,0.7311752287121746,0.7291228070175438,0.7301475755446241,0.7991763458172014
DecisionTreeClassifier,0.9915996425379804,0.7087205146533238,0.7187948350071736,0.7031578947368421,0.7108903866619369,0.7111153703632717
RandomForestClassifier,0.9915996425379804,0.7716225875625446,0.7710344827586207,0.7845614035087719,0.7777391304347826,0.848688618852302
AdaBoostClassifier,0.6750670241286864,0.6644031451036455,0.6740687679083095,0.6603508771929825,0.6671393123006026,0.7321948352308301
GradientBoostingClassifier,0.7379803395889187,0.7194424588992138,0.7165087956698241,0.7431578947368421,0.7295900792283844,0.7881524641903375
XGBClassifier,0.8988382484361037,0.7730521801286633,0.7622841965471447,0.8056140350877193,0.7833503923575571,0.8521053909354596
