Algorithm Name,Train Accuracy,TestAccuracy,Precision,Recall,F1 Score,AUC
LogisticRegression,0.6672922252010723,0.6576125804145818,0.6676238334529792,0.6526315789473685,0.6600425833924769,0.7210485426968734
GaussianNB,0.6302055406613047,0.6179413867047892,0.6096059113300493,0.6947368421052632,0.6493932436864546,0.6736364217170748
SVC,0.7949061662198391,0.7405289492494639,0.7456078706957133,0.744561403508772,0.7450842696629215,0.8111501258609013
DecisionTreeClassifier,0.9915996425379804,0.7097927090779128,0.7193987115246958,0.7052631578947368,0.7122608079376329,0.711923946793422
RandomForestClassifier,0.9915996425379804,0.7759113652609007,0.7740384615384616,0.7908771929824562,0.7823672335994446,0.8525505679712755
AdaBoostClassifier,0.6750670241286864,0.6644031451036455,0.6740687679083095,0.6603508771929825,0.6671393123006026,0.7321948352308301
GradientBoostingClassifier,0.7379803395889187,0.7194424588992138,0.7165087956698241,0.7431578947368421,0.7295900792283844,0.7881524641903375
XGBClassifier,0.8988382484361037,0.7730521801286633,0.7622841965471447,0.8056140350877193,0.7833503923575571,0.8521053909354596
